rollout/ep_len_mean,rollout/ep_rew_mean,time-step,time/fps,time/iterations,time/time_elapsed,time/total_timesteps,train/approx_kl,train/clip_fraction,train/clip_range,train/entropy_loss,train/explained_variance,train/learning_rate,train/loss,train/n_updates,train/policy_gradient_loss,train/value_loss
313.3,313.3,40960,1305,20,31,40960,0.0038626518,0.017724609375,0.2,-0.5065062949433923,0.03484046459197998,0.0003,-0.0033844364807009697,190,-0.0016920608715736308,0.16234617906884524
328.28,328.28,43008,1310,21,32,43008,0.0025716857,0.017138671875,0.2,-0.48608170747756957,-0.02846217155456543,0.0003,0.01664404384791851,200,-0.0008079803927103057,0.10503326455873321
349.32,349.32,45056,1300,22,34,45056,0.003462641,0.028857421875,0.2,-0.5061153380200267,-0.05121564865112305,0.0003,0.003087415359914303,210,-0.001362060580868274,0.0645369419002236
366.47,366.47,47104,1299,23,36,47104,0.0055298363,0.058349609375,0.2,-0.5002223127521574,0.0912596583366394,0.0003,-0.005854428745806217,220,-0.002512142824707553,0.04143534597787948
381.14,381.14,49152,1291,24,38,49152,0.00798466,0.12177734375,0.2,-0.4981292773969471,0.9034401178359985,0.0003,-0.006236076354980469,230,-0.011040914129262091,0.03691540904765134
395.49,395.49,51200,1290,25,39,51200,0.0051111397,0.0482421875,0.2,-0.5118930419906974,0.01950669288635254,0.0003,0.012786047533154488,240,-0.002204009977867827,0.018154085864807712
410.34,410.34,53248,1288,26,41,53248,0.0044598873,0.03486328125,0.2,-0.48319592978805304,0.022177815437316895,0.0003,0.00418594665825367,250,-0.0013693207656615414,0.01140072811904247
420.47,420.47,55296,1292,27,42,55296,0.004345098,0.055712890625,0.2,-0.48640142222866417,-0.03844094276428223,0.0003,-0.0006531495600938797,260,-0.003128857868432533,0.007300874751490482
433.11,433.11,57344,1290,28,44,57344,0.0029308326,0.013623046875,0.2,-0.4844852051697671,0.036166608333587646,0.0003,0.016661692410707474,270,-0.00021297644307196605,0.004737378810796144
444.31,444.31,59392,1288,29,46,59392,0.0038065948,0.04013671875,0.2,-0.4948712639510632,0.0859231948852539,0.0003,0.049062855541706085,280,-0.002094847522675991,0.0032457316128329692
455.06,455.06,61440,1288,30,47,61440,0.003412549,0.02548828125,0.2,-0.46636097962036727,0.09988671541213989,0.0003,5.892687477171421e-05,290,-0.0031926213625411036,0.002170947818831337
466.32,466.32,63488,1288,31,49,63488,0.005478826,0.04423828125,0.2,-0.4586776430718601,0.017731070518493652,0.0003,-0.03758561611175537,300,-0.0020131933408265466,0.0014674477551807285
480.98,480.98,65536,1290,32,50,65536,0.0027873241,0.00546875,0.2,-0.462171814404428,-0.027063965797424316,0.0003,-0.006605880334973335,310,0.00017994591253227553,0.0009922254572074963
485.9,485.9,67584,1286,33,52,67584,0.002502461,0.02177734375,0.2,-0.44645027779042723,-0.0009872913360595703,0.0003,-0.0028055605944246054,320,-0.001549391759908758,0.0008010803363958985
