perf/mse,time-step
0.002875284,410.0
,
0.00272735,411.0
,
0.002780829,412.0
,
0.0029790043,413.0
,
0.002979803,414.0
,
0.0030229974,415.0
,
0.0031487495,416.0
,
0.0032071434,417.0
,
0.0032605317,418.0
,
0.0031939088,419.0
,
0.0032815754,420.0
,
0.003370655,421.0
,
0.0034016422,422.0
,
0.0031806983,423.0
,
0.0031204994,424.0
,
0.003251347,425.0
,
0.0033099924,426.0
,
0.0033190246,427.0
,
0.0032771747,428.0
,
0.0032331583,429.0
,
0.0032746133,430.0
,
0.0033960561,431.0
,
0.0034853958,432.0
,
0.0036518336,433.0
,
0.0038200952,434.0
,
0.003672272,435.0
,
0.0037124723,436.0
,
0.0038609966,437.0
,
0.0038170596,438.0
,
0.0036541256,439.0
,
0.003855871,440.0
,
0.00367743,441.0
,
0.003791449,442.0
,
0.0038086295,443.0
,
0.0036459353,444.0
,
0.0038562906,445.0
,
0.0036505803,446.0
,
0.0033768122,447.0
,
0.0033907418,448.0
,
0.003505027,449.0
,
0.003177321,450.0
,
0.0031363026,451.0
,
0.0027600173,452.0
,
0.002515526,453.0
,
0.0025456373,454.0
,
0.00228338,455.0
,
0.0023438004,456.0
,
0.0025289222,457.0
,
0.002416496,458.0
,
0.0025297415,459.0
,
0.0025940458,460.0
,
0.0026486102,461.0
,
0.002723851,462.0
,
0.0028438596,463.0
,
0.002761069,464.0
,
0.0028378738,465.0
,
0.0027785497,466.0
,
0.002699546,467.0
,
0.0027790226,468.0
,
0.002822285,469.0
,
0.002787628,470.0
,
0.0028056267,471.0
,
0.0030464206,472.0
,
0.0030079607,473.0
,
0.0031134698,474.0
,
0.0030813986,475.0
,
0.003052196,476.0
,
0.0030555069,477.0
,
0.0029650487,478.0
,
0.002779623,479.0
,
0.0027619165,480.0
,
0.0027293614,481.0
,
0.0025570656,482.0
,
0.002629723,483.0
,
0.0024707608,484.0
,
0.0023626718,485.0
,
0.0023490011,486.0
,
0.0022600389,487.0
,
0.002234936,488.0
,
0.0023461932,489.0
,
0.002299776,490.0
,
0.0023411014,491.0
,
0.0023036448,492.0
,
0.0021829254,493.0
,
0.0021960933,494.0
,
0.0023803338,495.0
,
0.002331805,496.0
,
0.00233934,497.0
,
0.0024229854,498.0
,
0.0022554558,499.0
,
0.0022238677,500.0
,
0.0021433183,501.0
,
0.002113535,502.0
,
0.002100234,503.0
,
0.0021240811,504.0
,
0.0019771294,505.0
,
0.0020351703,506.0
,
0.0020447446,507.0
,
0.0019718576,508.0
,
0.0020063096,509.0
,
0.0020783716,510.0
,
0.0020546622,511.0
,
0.0020450833,512.0
,
